[mamba_ssm] ep 0: loss=0.3776 margin=-4.939 sbp_mae=9.69 dbp_mae=5.13
[mamba_ssm] ep 1: loss=0.3538 margin=-4.605 sbp_mae=9.41 dbp_mae=5.00
[mamba_ssm] ep 2: loss=0.3475 margin=-4.497 sbp_mae=9.32 dbp_mae=5.01
[mamba_ssm] ep 3: loss=0.3442 margin=-4.478 sbp_mae=9.31 dbp_mae=4.99
[mamba_ssm] ep 4: loss=0.3421 margin=-4.414 sbp_mae=9.24 dbp_mae=4.97
[mamba_ssm] ep 5: loss=0.3405 margin=-4.372 sbp_mae=9.23 dbp_mae=4.99
[mamba_ssm] ep 6: loss=0.3390 margin=-4.534 sbp_mae=9.39 dbp_mae=5.07
[mamba_ssm] ep 7: loss=0.3378 margin=-4.335 sbp_mae=9.19 dbp_mae=5.01
[mamba_ssm] ep 8: loss=0.3367 margin=-4.408 sbp_mae=9.27 dbp_mae=5.04
[mamba_ssm] ep 9: loss=0.3358 margin=-4.402 sbp_mae=9.27 dbp_mae=5.00
[mamba_ssm] ep 10: loss=0.3350 margin=-4.435 sbp_mae=9.29 dbp_mae=5.01
[mamba_ssm] ep 11: loss=0.3343 margin=-4.465 sbp_mae=9.34 dbp_mae=5.07
[mamba_ssm] ep 12: loss=0.3335 margin=-4.579 sbp_mae=9.45 dbp_mae=5.04
[mamba_ssm] ep 13: loss=0.3329 margin=-4.478 sbp_mae=9.34 dbp_mae=5.04
[mamba_ssm] ep 14: loss=0.3324 margin=-4.465 sbp_mae=9.33 dbp_mae=5.03
[mamba_ssm] ep 15: loss=0.3320 margin=-4.368 sbp_mae=9.23 dbp_mae=4.98
[mamba_ssm] ep 16: loss=0.3314 margin=-4.434 sbp_mae=9.31 dbp_mae=5.06
[mamba_ssm] ep 17: loss=0.3312 margin=-4.453 sbp_mae=9.30 dbp_mae=5.04
[mamba_ssm] ep 18: loss=0.3308 margin=-4.468 sbp_mae=9.34 dbp_mae=5.04
[mamba_ssm] ep 19: loss=0.3302 margin=-4.482 sbp_mae=9.35 dbp_mae=5.04
[mamba_ssm] ep 20: loss=0.3300 margin=-4.486 sbp_mae=9.34 dbp_mae=5.02
[mamba_ssm] ep 21: loss=0.3296 margin=-4.555 sbp_mae=9.39 dbp_mae=5.06
[mamba_ssm] ep 22: loss=0.3292 margin=-4.487 sbp_mae=9.34 dbp_mae=5.05
[mamba_ssm] ep 23: loss=0.3290 margin=-4.469 sbp_mae=9.34 dbp_mae=5.04
[mamba_ssm] ep 24: loss=0.3287 margin=-4.560 sbp_mae=9.41 dbp_mae=5.06
[mamba_ssm] ep 25: loss=0.3285 margin=-4.518 sbp_mae=9.36 dbp_mae=5.05
[mamba_ssm] ep 26: loss=0.3284 margin=-4.495 sbp_mae=9.32 dbp_mae=5.07
[mamba_ssm] ep 27: loss=0.3282 margin=-4.479 sbp_mae=9.35 dbp_mae=5.03
[mamba_ssm] ep 28: loss=0.3279 margin=-4.537 sbp_mae=9.41 dbp_mae=5.08
[mamba_ssm] ep 29: loss=0.3278 margin=-4.557 sbp_mae=9.39 dbp_mae=5.04
[mamba_ssm] ep 30: loss=0.3275 margin=-4.445 sbp_mae=9.33 dbp_mae=5.07
[mamba_ssm] ep 31: loss=0.3272 margin=-4.465 sbp_mae=9.35 dbp_mae=5.04
[mamba_ssm] ep 32: loss=0.3270 margin=-4.571 sbp_mae=9.39 dbp_mae=5.07
[mamba_ssm] ep 33: loss=0.3269 margin=-4.460 sbp_mae=9.32 dbp_mae=5.02
[mamba_ssm] ep 34: loss=0.3268 margin=-4.530 sbp_mae=9.36 dbp_mae=5.04
[mamba_ssm] ep 35: loss=0.3266 margin=-4.439 sbp_mae=9.32 dbp_mae=5.04
[mamba_ssm] ep 36: loss=0.3265 margin=-4.507 sbp_mae=9.35 dbp_mae=5.03
[mamba_ssm] ep 37: loss=0.3263 margin=-4.454 sbp_mae=9.32 dbp_mae=5.03
[mamba_ssm] ep 38: loss=0.3262 margin=-4.474 sbp_mae=9.34 dbp_mae=5.03
[mamba_ssm] ep 39: loss=0.3260 margin=-4.522 sbp_mae=9.39 dbp_mae=5.07
[mamba_ssm] best aami_margin: -4.335 -> experiments/iter_0000/seed_mamba_ssm_cal/result.json
