[mamba_ssm] ep 0: loss=0.3785 margin=-11.918 sbp_mae=15.59 dbp_mae=8.90
[mamba_ssm] ep 1: loss=0.3551 margin=-11.580 sbp_mae=15.26 dbp_mae=8.73
[mamba_ssm] ep 2: loss=0.3484 margin=-11.525 sbp_mae=15.20 dbp_mae=8.79
[mamba_ssm] ep 3: loss=0.3452 margin=-11.409 sbp_mae=15.09 dbp_mae=8.74
[mamba_ssm] ep 4: loss=0.3427 margin=-11.469 sbp_mae=15.15 dbp_mae=8.78
[mamba_ssm] ep 5: loss=0.3410 margin=-11.430 sbp_mae=15.09 dbp_mae=8.73
[mamba_ssm] ep 6: loss=0.3397 margin=-11.462 sbp_mae=15.17 dbp_mae=8.80
[mamba_ssm] ep 7: loss=0.3384 margin=-11.516 sbp_mae=15.18 dbp_mae=8.86
[mamba_ssm] ep 8: loss=0.3372 margin=-11.541 sbp_mae=15.18 dbp_mae=8.81
[mamba_ssm] ep 9: loss=0.3363 margin=-11.428 sbp_mae=15.14 dbp_mae=8.80
[mamba_ssm] ep 10: loss=0.3358 margin=-11.539 sbp_mae=15.22 dbp_mae=8.76
[mamba_ssm] ep 11: loss=0.3349 margin=-11.488 sbp_mae=15.15 dbp_mae=8.77
[mamba_ssm] ep 12: loss=0.3343 margin=-11.521 sbp_mae=15.18 dbp_mae=8.78
[mamba_ssm] ep 13: loss=0.3337 margin=-11.471 sbp_mae=15.09 dbp_mae=8.79
[mamba_ssm] ep 14: loss=0.3332 margin=-11.491 sbp_mae=15.16 dbp_mae=8.74
[mamba_ssm] ep 15: loss=0.3326 margin=-11.433 sbp_mae=15.13 dbp_mae=8.81
[mamba_ssm] ep 16: loss=0.3321 margin=-11.478 sbp_mae=15.13 dbp_mae=8.80
[mamba_ssm] ep 17: loss=0.3318 margin=-11.444 sbp_mae=15.13 dbp_mae=8.78
[mamba_ssm] ep 18: loss=0.3315 margin=-11.490 sbp_mae=15.15 dbp_mae=8.76
[mamba_ssm] ep 19: loss=0.3308 margin=-11.450 sbp_mae=15.08 dbp_mae=8.77
[mamba_ssm] ep 20: loss=0.3306 margin=-11.440 sbp_mae=15.08 dbp_mae=8.73
[mamba_ssm] ep 21: loss=0.3301 margin=-11.444 sbp_mae=15.12 dbp_mae=8.77
[mamba_ssm] ep 22: loss=0.3297 margin=-11.562 sbp_mae=15.23 dbp_mae=8.80
[mamba_ssm] ep 23: loss=0.3294 margin=-11.532 sbp_mae=15.16 dbp_mae=8.78
[mamba_ssm] ep 24: loss=0.3292 margin=-11.474 sbp_mae=15.11 dbp_mae=8.78
[mamba_ssm] ep 25: loss=0.3288 margin=-11.537 sbp_mae=15.15 dbp_mae=8.80
[mamba_ssm] ep 26: loss=0.3286 margin=-11.423 sbp_mae=15.06 dbp_mae=8.74
[mamba_ssm] ep 27: loss=0.3282 margin=-11.538 sbp_mae=15.17 dbp_mae=8.75
[mamba_ssm] ep 28: loss=0.3282 margin=-11.476 sbp_mae=15.11 dbp_mae=8.75
[mamba_ssm] ep 29: loss=0.3278 margin=-11.465 sbp_mae=15.09 dbp_mae=8.77
[mamba_ssm] ep 30: loss=0.3275 margin=-11.480 sbp_mae=15.10 dbp_mae=8.86
[mamba_ssm] ep 31: loss=0.3274 margin=-11.557 sbp_mae=15.15 dbp_mae=8.82
[mamba_ssm] ep 32: loss=0.3272 margin=-11.461 sbp_mae=15.07 dbp_mae=8.79
[mamba_ssm] ep 33: loss=0.3269 margin=-11.438 sbp_mae=15.06 dbp_mae=8.74
[mamba_ssm] ep 34: loss=0.3268 margin=-11.482 sbp_mae=15.10 dbp_mae=8.75
[mamba_ssm] ep 35: loss=0.3267 margin=-11.610 sbp_mae=15.23 dbp_mae=8.82
[mamba_ssm] ep 36: loss=0.3264 margin=-11.500 sbp_mae=15.14 dbp_mae=8.75
[mamba_ssm] ep 37: loss=0.3262 margin=-11.500 sbp_mae=15.14 dbp_mae=8.77
[mamba_ssm] ep 38: loss=0.3261 margin=-11.479 sbp_mae=15.12 dbp_mae=8.76
[mamba_ssm] ep 39: loss=0.3259 margin=-11.514 sbp_mae=15.18 dbp_mae=8.80
[mamba_ssm] best aami_margin: -11.409 -> experiments/iter_0000/seed_mamba_ssm_free/result.json
